programme,mlcourse,ircourse,statcourse,dbcourse,gender,chatGPT,birthday,studentestimate,stand,stress,sporthours,random,bedtime,goodday1,goodday2,stress_level,byear,bmonth
computer science,yes,no,mu,ja,male,yes,27.09.1999,200,no,9.0,0.0,69.0,02,Nice food,Time with friends ,low,1999,9
big data engineering,yes,unknown,mu,ja,male,not willing to say,"July 07th, 2001",0,no,50.0,6.0,37.0,06,Productivity,Physical and mental activity,medium,2001,07
bioinformatics and systems biology,yes,no,sigma,nee,male,yes,06/10/1998,240,no,42.0,8.0,3.0,01,Good food,Friends,medium,1998,10
business analytics,yes,no,mu,nee,male,yes,12/10/1997,240,no,80.0,6.0,7.0,03,Free day ,Good company ,high,1997,10
artificial intelligence,no,no,mu,ja,non-binary,yes,2000-02-24,240,no,100.0,0.0,3.0,04,Sunshine,Reading a book,high,2000,2
unknown,yes,no,mu,ja,female,yes,2/5,100,no,70.0,2.0,99.0,01,Sun,Text,medium,1998,5
computer science,no,no,mu,ja,female,yes,11.05.2001,300,no,35.0,5.0,63.0,00,A nice-looking breakfast,Sunny weather,low,2001,5
computer science,yes,yes,mu,ja,male,not willing to say,30/2/1999,380,no,100.0,0.0,69.0,22,Doing sport,Beer,high,1999,2
business analytics,yes,yes,mu,nee,male,yes,24-03-97,300,no,25.0,5.0,4.0,02,Being productive,Spend time with loved ones and have good food,low,2000,3
artificial intelligence,yes,no,mu,ja,male,yes,12/10/1999,240,no,42.24220338983051,8.0,69.0,01,Bj,Coffee ,medium,1999,10
computational science,yes,no,mu,ja,male,not willing to say,11 12 1994,240,no,20.0,5.0,42.0,00,Doing something rewarding and productive,Being with friends or girlfriend,low,1994,12
computer science,yes,no,mu,ja,male,yes,11.22,200,no,75.0,10.0,66.0,23,Good sleep ,Flowers ,medium,2000,11
artificial intelligence,yes,no,sigma,nee,female,yes,15-12-2001,280,no,10.0,5.0,6291.0,01,When it is sunny,When I do fun activities with friends,low,2001,12
big data engineering,no,no,sigma,nee,female,no,10/10/1999,300,no,80.0,5.0,19.0,05,Good food,Good friend,high,1999,10
bioinformatics and systems biology,yes,yes,unknown,ja,female,yes,30-04-2002,260,no,0.0,0.0,7.0,03,Baking cake,Eating cake,low,2002,4
computer science,yes,no,mu,ja,male,not willing to say,02-05,200,no,30.0,2.0,42.0,00,food,high score,low,2000,5
computer science,yes,no,sigma,ja,male,yes,Cucumber,0,unknown,101.0,50.0,0.0,00,D,No d,high,2000,
quantitative risk management,yes,unknown,sigma,ja,female,yes,2000-01-01,300,no,10.0,1.0,537920.0,02,Being with friends,Having good food,low,2000,1
artificial intelligence,yes,yes,mu,ja,female,yes,30-09-2001,240,no,25.0,0.0,24.0,23,No stress,No deadlines,low,2001,9
artificial intelligence,yes,yes,unknown,ja,female,yes,02-11-2000,300,no,30.0,4.0,2000.0,22,Make someone happy,Doing sports and laugh with friends,low,2000,11
artificial intelligence,yes,yes,mu,ja,male,yes,30-09-1999,0,unknown,1.0,6.0,26.0,01,Morning coffee and a cigarette,Protein shake after workout,low,1999,9
big data engineering,yes,yes,mu,ja,male,no,19-02-1998,240,no,20.0,9.0,199978405.0,00,Food,Sports,low,1998,2
business analytics,yes,yes,mu,ja,male,no,04-02,200,no,15.0,2.0,13.0,23,Nice weather,No stress,low,2000,2
computational science,no,no,mu,nee,male,no,13-08-2000,200,no,23.0,7.0,13.0,00,Interacting with friends,Achieving a goal set for that day,low,2000,8
artificial intelligence,yes,no,unknown,ja,male,yes,October 12th 1999,360,no,30.0,2.0,55.0,01,Drinking beer,When the sun shines a lot,low,1999,10
artificial intelligence,yes,no,mu,ja,male,yes,18-10-2001,200,no,60.0,8.0,8.0,03,Amount of work done,Amount of time having fun,medium,2001,10
political data journalism,yes,no,mu,nee,non-binary,yes,01.05.1998,220,no,40.0,7.0,53.0,00,Great food,Interaction with some of the wholesome people in my life ,medium,1998,5
bioinformatics and systems biology,yes,no,mu,ja,male,not willing to say,16/09/1998,240,no,25.0,4.0,7.0,00,Be productive,Eat healty,low,1998,9
computational science,no,no,sigma,nee,female,yes,11-01-2000,300,no,30.0,6.0,187.0,00,Good food,Getting work done,low,2000,1
business analytics,yes,no,mu,ja,male,yes,05/03/2001,300,no,30.0,4.0,34.0,23,No train delays,No school or work obligations ,low,2001,3
artificial intelligence,yes,no,mu,nee,other,yes,21/2/1999,100,no,88.0,7.0,69.0,00,Free time,Sun,high,1999,2
artificial intelligence,yes,no,mu,ja,male,yes,13.03.2000,160,no,20.0,2.0,117.0,02,Spaghetti ,I forgor💀,low,2000,3
computational science,no,yes,mu,ja,female,no,21.04.,280,no,20.0,5.0,82018.0,21,Meeting friends,Sunshine,low,2000,4
artificial intelligence,yes,no,mu,nee,female,yes,19/07/199,200,no,30.0,2.0,17.0,23,The sun,Day out with friends,low,1999,7
artificial intelligence,yes,yes,mu,ja,male,not willing to say,11/04/2000,0,no,2.0,5.0,1.0836474839263565e+37,02,Weed,Friends,low,2000,4
artificial intelligence,no,no,mu,nee,male,yes,01041997,300,no,80.0,8.0,99.0,02,No task,Having fun with friends or families ,high,1997,4
artificial intelligence,yes,no,mu,ja,male,yes,22-12-2000,240,yes,1.0,8.0,2543892.0,23,Nice weather,Friends,low,2000,12
artificial intelligence,yes,no,mu,ja,male,yes,05.07.2000,160,no,90.0,2.0,184.0,04,Finish a demanding but interesting assignment,Impress work colleagues at work,high,2000,7
computational science,yes,no,mu,ja,female,yes,15-11-1999,340,no,0.0,4.0,-42.0,23,Google form quizzes,good food,low,1999,11
artificial intelligence,yes,no,mu,ja,female,yes,13/12/1996,300,no,50.0,3.0,13.0,02,herbal tea,a sense of accomplishment,medium,1996,12
computational science,no,no,mu,nee,non-binary,yes,15,200,no,90.0,5.0,4.0,06,Hanging out with friends,Staying at home killing time without assignments,high,2000,
artificial intelligence,no,no,mu,nee,male,not willing to say,03-01-1998,320,no,60.0,3.0,9.0,22,Being with people I love,Spending time on my priorities,medium,1998,1
unknown,no,no,mu,ja,male,yes,Feb 12 1999,300,no,88.0,4.0,74.0,00,No assignments ,No lecture,high,1999,02
artificial intelligence,no,yes,mu,ja,not willing to answer,no,09.01.1998,360,no,5.0,18.0,6.39959299895993e+42,01,Pancakes,Excercise,low,1998,1
computer science,no,no,unknown,nee,female,yes,11.06.1998,500,no,40.0,0.0,1636287.0,00,Feeling the sun on my skin while outside,being rly cozy in my bed watching a show/reading,medium,1998,6
artificial intelligence,yes,yes,mu,ja,male,not willing to say,14-03-1955,200,no,20.0,6.0,17389276163.0,00,Beers on the terrace ,The sun is shining,low,1999,3
artificial intelligence,no,no,mu,nee,male,yes,23/12/1997,0,no,30.0,1.0,1234567890.0,02,Nice weather ,Relaxing with my friends ,low,1997,12
artificial intelligence,yes,yes,mu,ja,female,yes,24-07-2000,140,yes,30.0,0.0,7.0,02,Nice weather,Good food,low,2000,7
critical language scholarship,no,no,mu,nee,female,yes,08/09,180,yes,68.0,5.0,9.0,01,Eating a great meal ,Petting animals,medium,2000,9
computational science,yes,yes,mu,ja,female,not willing to say,09052001,100,unknown,100.0,8.0,68.0,00,dessert,good weather,high,2001,5
econometrics and data science,yes,yes,mu,ja,female,not willing to say,01-12-2000,300,no,5.0,10.0,6.0,00,Seeing friends/family,Football,low,2000,12
unknown,yes,no,mu,nee,male,not willing to say,30.08,240,yes,60.0,3.0,97.0,01,great weather ,meet friends,medium,1998,8
econometrics and data science,yes,unknown,mu,nee,male,yes,27 October ,400,no,10.0,4.0,917382918.0,02,Being with friends,Being with girlfriend,low,2000,10
artificial intelligence,yes,no,mu,ja,male,yes,31/07/2001,600,no,20.0,10.0,24.0,02,Sunny,Being together with crush,low,2001,7
artificial intelligence,yes,no,unknown,ja,male,yes,17/04/2001,120,no,25.0,5.0,3.0,01,Sun,Being outside,low,2001,4
artificial intelligence,yes,no,mu,ja,male,yes,06.11.1895,300,no,15.0,6.0,7.362826282728195e+22,23,Nice weather,No rain,low,1995,11
artificial intelligence,yes,no,mu,ja,gender fluid,not willing to say,16.06.1998,120,yes,100.0,8.0,5.426710954327103e+29,23,Weed,Beer,high,1998,6
econometrics and data science,yes,yes,mu,ja,male,not willing to say,13 november 1996,500,no,50.0,4.0,37.0,14,Money,Sunshine,medium,1996,11
artificial intelligence,no,no,mu,nee,female,yes,08/06/1997,280,yes,80.0,2.0,942.0,01,Good friends,Feeling safe,high,1997,6
artificial intelligence,yes,no,mu,nee,male,yes,23/03/1999,240,no,10.0,6.0,0.0,02,No lectures ,Lectures ,low,1999,3
artificial intelligence,no,no,mu,ja,female,yes,30052000,400,yes,20.0,2.0,627.0,00,gelato,good weather,low,2000,5
bioinformatics and systems biology,yes,unknown,sigma,nee,male,yes,22nd of july,180,no,50.0,2.0,8.0,03,Full belly,Slept well,medium,1999,07
artificial intelligence,yes,no,mu,ja,female,yes,March 7,300,no,55.0,2.0,78.0,06,Family,Friends,medium,1999,03
computational science,yes,no,mu,unknown,male,yes,2001.7.24,400,no,99.0,5.0,0.0,00,dog,food,high,2001,7
artificial intelligence,yes,yes,mu,ja,gender fluid,not willing to say,over 9000,0,no,42.24220338983051,0.0,9000.0,07,my fiance,my pet frog,medium,1999,
econometrics and data science,yes,unknown,mu,ja,male,yes,03-05-1997,360,no,50.0,6.0,999.0,02,Having good sleep,No problems in private life,medium,1997,5
artificial intelligence,yes,yes,mu,ja,female,yes,26/03/2000,460,no,0.0,6.0,4.0,22,Spending time with some of my favorite people,Working out,low,2000,3
artificial intelligence,yes,no,mu,ja,male,yes,10/11/2000,200,no,30.0,1.0,2.0,02,Friends,Accomplish something,low,2000,11
computer science,yes,yes,mu,ja,male,yes,20-01-2001,360,no,65.0,8.0,8964.0,01,Get things done,Meet friends ,medium,2001,1
computer science,yes,no,mu,ja,male,not willing to say,25/03/00,240,unknown,110.0,5.0,7.0,02,Not having to do anything involving my laptop,Lorem ipsum,high,2000,3
computer science,no,no,unknown,nee,male,not willing to say,29 May 1998,180,no,80.0,0.0,169.0,01,Sleeping in late,Playing Red Dead Redemption 2 on my laptop,high,1998,05
artificial intelligence,yes,yes,mu,ja,male,yes,28-03,300,no,0.0,12.0,5091.0,02,I did my tasks,I enjoyed myself,low,1999,3
business analytics,yes,yes,mu,ja,male,yes,25/06/2002,240,no,34.0,7.0,8648.0,00,Played sports,Talked to friends,low,2002,6
human language technology,yes,unknown,unknown,unknown,female,not willing to say,1987,220,no,75.98,2.0,10642790.0,00,Chatting with my family ,Away from stress,medium,1987,
artificial intelligence,yes,no,mu,nee,male,no,19-06-1998,300,no,20.0,6.0,26.0,02,Meeting friends,Getting to do things I’m interested in,low,1998,6
ai for health,no,no,mu,ja,male,yes,25-03-1997,100,no,-1.0,8.0,13.0,00,waking up refreshed ,no work obligations ,low,1997,3
econometrics and data science,yes,yes,mu,ja,female,yes,31-07-1998,240,no,2.0,3.0,74.0,23,Laughter,Having friendly interactions,low,1998,7
big data,yes,yes,mu,ja,male,yes,5,160,no,100.0,1.0,420.0,22,When I find a good housing ,Playing sports,high,2000,
business analytics,yes,yes,mu,ja,male,yes,29/05/2000,180,no,10.0,10.0,1903.0,23,Sports,Relaxing,low,2000,5
bioinformatics and systems biology,yes,no,sigma,nee,female,yes,16.4,300,no,30.0,5.0,47.0,03,Good sleep,No work,low,1999,4
artificial intelligence,yes,no,mu,nee,non-binary,yes,16-07-1998,300,no,80.0,8.0,72.0,01,Keep happy with my girlfriend,Sleep well,high,1998,7
computational science,yes,no,mu,ja,male,yes,21-11-2001,280,no,30.0,4.0,7487964.0,23,Bouldering,Haskell,low,2001,11
computer science,no,no,sigma,nee,not willing to answer,not willing to say,02/10/1993,300,no,77.0,2.0,0.0,02,Earning a 10 on this course,Earning $10000 a day from the stock market,medium,1993,10
bioinformatics and systems biology,yes,no,mu,ja,female,yes,30-08,200,no,75.0,4.0,8.0,22,Seeing a golden retriever,Having fun with friends,medium,1999,8
unknown,yes,no,sigma,nee,male,yes,12/31/1616,500,no,101.0,0.0,7.431347801342783e+19,22,Nothing,Nothing,high,1998,12
bachelor of arts,yes,yes,mu,ja,male,yes,01-05-2001,300,no,40.0,10.0,7.0,23,Good sleep,Relaxing,medium,2001,5
computational science,yes,no,mu,ja,male,yes,4/20/1969,500,no,69.0,8.0,80085.0,04,Sex,Sex,medium,2000,4
artificial intelligence,yes,yes,mu,ja,gender fluid,no,03/04,300,no,20.0,2.0,43.0,01,no class,seeing friends,low,1999,4
computer science,no,no,unknown,nee,male,yes,25/08/2000,300,no,99.0,5.0,7.0,03,Task completed,Unexpected income,high,2000,8
business analytics,yes,yes,mu,ja,male,yes,28-06-2000,360,no,42.24220338983051,4.0,69.0,23,A kiss,Sun shining,medium,2000,6
artificial intelligence,yes,yes,mu,ja,female,not willing to say,11,300,no,70.0,12.0,7.0,00,food,climbing a 6b+,medium,1999,
computational science,no,no,mu,ja,male,not willing to say,121198,300,no,20.0,15.0,28.0,01,"with friends, enjoy the day",have time to go to the gym,low,1998,12
artificial intelligence,yes,yes,unknown,ja,male,yes,07-02-1996,200,no,70.0,3.0,37.0,00,When I accomplished something that I care about,Having laughs with friends or family,medium,1996,2
computational science,no,no,mu,ja,male,yes,13 July 2001,360,no,60.0,10.0,7.0,23,Being with my friends ,Going to the gym ,medium,2001,07
bioinformatics and systems biology,yes,yes,mu,nee,female,yes,29-11-1998,240,no,20.0,4.0,4.0,01,Sleep in,Chill,low,1998,11
computer science,yes,yes,mu,ja,gender fluid,not willing to say,0327,200,no,20.0,3.0,78.0,22,Nice Eating,Good Rest,low,2000,
computer science,yes,no,mu,ja,male,yes,1 april,200,no,0.0,3.0,0.0,03,food,food,low,2000,04
computational science,yes,no,mu,nee,female,yes,12/09/1999,200,no,0.0,10.0,27.0,00,Good food,Working out,low,1999,9
unknown,no,no,mu,nee,not willing to answer,not willing to say,05.FEB.2001,120,yes,20.0,8.0,719.0,03,Making progress compared to yesterday,To work out,low,2001,02
artificial intelligence,yes,yes,mu,ja,male,yes,29th August 1999,300,no,33.0,6.0,4.0,03,wake up early,some form of exercise,low,1999,08
computational science,yes,no,mu,nee,male,yes,27-11-1992,300,no,25.0,7.0,0.0,01,"Food, sun, friends, wine, learning new things",Mandatory office days ,low,1992,11
artificial intelligence,yes,no,mu,ja,female,yes,10-08-2002,240,no,40.0,5.0,13579.0,00,Sunny ,exercise ,medium,2002,8
computational science,yes,yes,unknown,ja,female,yes,15/11/1993,220,no,60.0,1.0,7.0,23,Talk to friends and family,To have laughed during the day,medium,1993,11
unknown,yes,no,mu,nee,male,yes,08,200,no,65.0,7.0,46.0,01,Positivity,Good sleep,medium,1998,
artificial intelligence,yes,no,mu,nee,gender fluid,yes,10-11-1996,160,no,20.0,6.0,75890.0,01,Good sex,Dancing at a party,low,1996,11
artificial intelligence,yes,yes,mu,ja,female,yes,02-06-1999,160,no,80.0,2.0,7.0,00,If the weather is warm,No delays in public transport ,high,1999,6
computational science,yes,yes,mu,ja,female,yes,06-11-2000,360,no,30.0,8.0,18.0,23,Nice weather,Being with friends and family,low,2000,11
computational science,no,no,mu,nee,female,not willing to say,0710,400,no,10.0,6.0,17.0,03,good food,keep winning hearthstone battleground,low,2000,
artificial intelligence,yes,unknown,mu,ja,female,yes,03-03-1998,240,no,35.5,1.0,67.0,01,Having nothing to worry about ,Doing the things that I like ,low,1998,3
finiancial technology,yes,no,mu,ja,male,yes,20.11.1897,200,no,10.0,10.0,-2.0,23,Good sleep,No university,low,1997,11
computer science,yes,no,mu,ja,male,yes,11/20,160,yes,70.0,5.0,69.0,00,kiss,shopping,medium,2000,11
computational science,yes,no,mu,nee,male,yes,Jan 12,120,no,40.0,7.0,-2.0,01,Love,Music,medium,2000,01
unknown,yes,unknown,mu,nee,male,not willing to say,29-05-200,200,no,30.0,8.0,3.14,23,Social activity ,Sports ,low,1998,5
computational science,yes,no,mu,nee,female,yes,12-10-2001,200,no,60.0,5.0,865.0,00,good food ,no school ,medium,2001,10
artificial intelligence,yes,no,mu,ja,male,yes,26/08/1988,220,no,77.0,0.0,29.0,07,Study,Organized ,medium,1988,8
business analytics,yes,yes,mu,ja,female,yes,25-07-2002,240,no,0.0,9.0,74364789532.0,23,Sunshine,Friends ,low,2002,7
unknown,yes,yes,sigma,ja,male,yes,14,80,no,5.0,10.0,8.0,22,Date with a girl,Binge watching a TV show,low,1998,
econometrics and data science,no,no,mu,nee,male,yes,13/06/2000,360,no,10.0,15.0,13.0,23,"Good sleep, Rowing and being productive","Good sleep, chillings and eating good",low,2000,6
artificial intelligence,yes,no,mu,ja,female,yes,05-04-2000,300,no,70.0,2.0,6.0,01,sleep 8h,went to gym,medium,2000,4
bioinformatics and systems biology,yes,unknown,mu,ja,male,yes,16-11-1999,200,no,100.0,3.0,420.0,01,Beer,Beer,high,1999,11
business analytics,yes,no,mu,nee,female,yes,"May 4, 2000",220,no,65.0,0.0,200000007.0,01,Work during the day and see my friends in the evening,"Going outside, eating good food, getting some work done, seeing people I know, drinking",medium,2000,05
artificial intelligence,yes,yes,mu,ja,male,yes,02-10-2000,440,no,30.0,6.0,2564803.0,02,If I can decide for myself what I want to do during the day,If I have a fun social activity in the evening,low,2000,10
unknown,yes,no,mu,nee,male,yes,07/10/1997,300,no,52.0,10.0,752169420587.0,00,Low stress,Sunny weather,medium,1997,10
computer science,yes,yes,mu,ja,male,no,1-1-2002,300,no,20.0,2.0,582819464919263.0,00,-,-,low,2002,1
computer science,yes,yes,mu,ja,female,not willing to say,21-06,240,no,75.0,3.0,21.0,00,Good sleep,Delicious food ,medium,2000,6
bioinformatics and systems biology,yes,no,unknown,nee,male,yes,2001 03 29,200,no,42.24220338983051,5.0,29.0,03,good weather,good grades,medium,2001,3
public administration,no,no,unknown,nee,female,yes,18-01-2001,200,no,70.0,5.0,8.0,01,Nice food,Nice weather,medium,2001,1
artificial intelligence,yes,yes,mu,ja,female,not willing to say,29-07-2002,300,no,20.0,5.0,77.0,23,Sun,Dinner with friends,low,2002,7
